FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
268,"脊","spinal column",2016-06-17 11:39:13,2016-06-28,4,1,3
269,"合","fit",2016-06-20 12:01:35,2016-07-14,4,1,3
270,"塔","pagoda",2016-06-15 10:04:45,2016-06-23,3,2,3
271,"王","king",2016-06-17 11:22:59,2016-07-02,4,0,3
272,"玉","jewel",2016-06-19 14:01:32,2016-07-09,4,0,3
273,"宝","treasure",2016-06-18 07:04:51,2016-06-30,4,0,3
274,"珠","pearl",2016-06-16 12:25:38,2016-06-30,4,1,3
275,"現","present",2016-06-16 12:13:36,2016-06-30,4,1,3
276,"玩","toy",2016-06-18 06:58:10,2016-06-30,4,1,3
277,"狂","lunatic",2016-06-16 12:25:38,2016-07-03,4,0,3
278,"旺","effulgent",2016-06-18 07:02:39,2016-07-01,4,0,3
279,"皇","emperor",2016-06-18 07:07:20,2016-07-04,4,0,3
280,"呈","display",2016-06-17 11:26:33,2016-06-29,4,1,3
281,"全","whole",2016-06-19 14:11:53,2016-07-06,4,1,3
282,"栓","plug",2016-06-18 06:55:45,2016-07-04,4,1,3
283,"理","logic",2016-06-16 12:27:47,2016-06-27,4,0,3
284,"主","lord",2016-06-18 07:00:08,2016-07-04,4,0,3
285,"注","pour",2016-06-17 11:22:59,2016-07-02,4,1,3
286,"柱","pillar",2016-06-18 06:45:01,2016-06-30,4,0,3
287,"金","gold",2016-06-17 11:32:34,2016-06-28,4,0,3
288,"銑","pig iron",2016-06-20 11:55:18,2016-07-13,4,0,3
289,"鉢","bowl",2016-06-18 06:55:45,2016-06-29,4,0,3
290,"銅","copper",2016-06-15 09:47:54,2016-06-26,4,0,3
291,"釣","angling",2016-06-18 06:48:17,2016-06-30,4,0,3
292,"針","needle",2016-06-17 11:28:57,2016-07-01,4,0,3
293,"銘","inscription",2016-06-14 09:50:42,2016-06-30,4,1,3
294,"鎮","tranquillize",2016-06-16 12:11:50,2016-06-30,4,1,3
295,"道","road-way",2016-06-18 06:07:42,2016-07-02,4,1,3
296,"導","guidance",2016-06-19 14:08:54,2016-06-30,4,2,4
297,"辻","crossing",2016-06-15 09:49:32,2016-06-27,4,0,3
298,"迅","swift",2016-06-18 06:42:24,2016-07-01,4,1,3
299,"造","create",2016-06-18 06:42:24,2016-06-29,4,0,3
300,"迫","urge",2016-06-15 09:50:48,2016-06-30,4,0,3
301,"逃","escape",2016-06-18 06:48:17,2016-07-02,4,0,3
302,"辺","environs",2016-06-17 11:20:01,2016-06-28,4,0,3
303,"巡","patrol",2016-06-20 11:38:11,2016-07-05,4,0,3
304,"車","car",2016-06-17 11:28:57,2016-06-29,4,0,3
305,"連","take along",2016-06-13 09:55:15,2016-06-22,3,0,2
306,"軌","rut",2016-06-13 10:03:15,2016-06-22,3,0,2
307,"輸","transport",2016-06-18 06:52:49,2016-07-02,4,1,3
308,"喩","metaphor",2016-06-20 11:28:42,2016-07-03,4,0,3
309,"前","in front",2016-06-18 07:00:08,2016-07-04,4,0,3
310,"煎","roast",2016-06-20 11:31:06,2016-07-02,4,0,3
311,"各","each",2016-06-19 13:49:26,2016-07-04,4,1,3
312,"格","status",2016-06-19 14:06:34,2016-07-02,4,1,4
313,"賂","graft",2016-06-20 11:40:21,2016-07-02,4,0,3
314,"略","abbreviation",2016-06-20 11:55:18,2016-07-01,4,0,3
315,"客","guest",2016-06-20 11:26:15,2016-07-03,4,0,3
316,"額","forehead",2016-06-20 11:49:49,2016-07-03,4,1,3
317,"夏","summer",2016-06-14 09:39:46,2016-06-21,3,1,2
318,"処","dispose",2016-06-19 13:58:43,2016-07-06,4,0,3
319,"条","twig",2016-06-20 11:58:12,2016-07-01,4,0,3
320,"落","fall",2016-06-14 09:43:52,2016-06-22,3,1,2
321,"冗","superfluous",2016-06-17 11:39:13,2016-06-28,4,0,3
322,"冥","Hades",2016-06-18 07:04:51,2016-07-03,4,0,3
323,"軍","army",2016-06-18 06:52:49,2016-07-01,4,0,3
324,"輝","radiance",2016-06-20 11:31:06,2016-07-03,4,0,3
325,"運","carry",2016-06-20 11:55:18,2016-07-01,4,0,3
326,"冠","crown",2016-06-13 09:59:45,2016-06-21,3,0,2
327,"夢","dream",2016-06-18 06:48:17,2016-07-02,4,0,3
328,"坑","pit",2016-06-20 11:38:11,2016-07-04,4,0,3
329,"高","tall",2016-06-20 11:40:21,2016-07-05,4,0,3
330,"享","receive",2016-06-13 09:48:47,2016-06-22,3,0,2
331,"塾","cram school",2016-06-20 12:05:26,2016-07-07,4,0,3
332,"熟","mellow",2016-06-14 09:43:52,2016-06-23,3,1,3
333,"亭","pavilion",2016-06-13 09:55:15,2016-06-22,3,0,2
334,"京","capital",2016-06-19 14:25:20,2016-07-05,4,0,3
335,"涼","refreshing",2016-06-20 12:05:26,2016-07-05,4,0,3
336,"景","scenery",2016-06-20 12:05:26,2016-07-07,4,1,3
337,"鯨","whale",2016-06-13 09:52:34,2016-06-22,3,0,2
338,"舎","cottage",2016-06-13 09:55:15,2016-06-22,3,0,2
339,"周","circumference",2016-06-12 09:50:15,2016-06-21,3,0,2
340,"週","week",2016-06-18 07:07:20,2016-07-01,4,0,3
341,"士","gentleman",2016-06-20 12:05:26,2016-07-03,4,0,3
342,"吉","good luck",2016-06-13 09:48:47,2016-06-21,3,0,2
343,"壮","robust",2016-06-19 13:54:30,2016-07-06,4,0,3
344,"荘","villa",2016-06-16 12:20:45,2016-06-30,4,0,3
345,"売","sell",2016-06-19 14:19:16,2016-07-05,4,0,3
346,"学","study",2016-06-18 06:55:45,2016-07-02,4,0,3
347,"覚","memorize",2016-06-19 13:54:30,2016-07-02,4,0,3
348,"栄","flourish",2016-06-19 14:01:32,2016-07-03,4,0,3
349,"書","write",2016-06-14 09:39:46,2016-06-21,3,1,2
350,"津","haven",2016-06-19 14:25:20,2016-07-02,4,0,3
351,"牧","breed",2016-06-16 12:23:08,2016-06-28,4,0,3
352,"攻","aggression",2016-06-18 06:45:01,2016-06-30,4,0,3
353,"敗","failure",2016-06-18 07:02:39,2016-07-04,4,0,3
354,"枚","a sheet of",2016-06-13 10:09:36,2016-06-21,3,0,2
355,"故","happenstance",2016-06-20 11:44:31,2016-07-03,4,0,3
356,"敬","awe",2016-06-19 14:28:51,2016-06-22,2,1,3
357,"言","say",2016-06-13 10:09:36,2016-06-21,3,0,2
358,"警","admonish",2016-06-19 13:56:41,2016-07-02,4,0,3
359,"計","plot",2016-06-18 06:09:29,2016-06-29,4,0,3
360,"詮","elucidate",2016-06-13 09:52:34,2016-06-21,3,0,2
361,"獄","prison",2016-06-13 09:59:45,2016-06-22,3,0,2
362,"訂","revise",2016-06-14 09:37:09,2016-06-21,3,1,2
363,"訃","obituary",2016-06-18 06:55:45,2016-07-04,4,0,3
364,"討","chastise",2016-06-18 06:51:11,2016-06-29,4,0,3
365,"訓","instruction",2016-06-13 09:48:47,2016-06-22,3,0,2
366,"詔","imperial edict",2016-06-13 10:06:31,2016-06-21,3,0,2
367,"詰","packed",2016-06-19 14:17:01,2016-07-02,4,0,3
368,"話","tale",2016-06-18 06:55:45,2016-07-02,4,0,3
369,"詠","recitation",2016-06-13 10:06:31,2016-06-22,3,0,2
370,"詩","poem",2016-06-18 06:52:49,2016-07-04,4,0,3
371,"語","word",2016-06-18 06:55:45,2016-07-01,4,0,3
372,"読","read",2016-06-19 13:56:41,2016-07-02,4,0,3
373,"調","tune",2016-06-13 09:55:15,2016-06-21,3,0,2
374,"談","discuss",2016-06-16 12:23:08,2016-06-27,4,0,3
375,"諾","consent",2016-06-20 11:42:17,2016-07-06,4,1,4
376,"諭","rebuke",2016-06-12 09:56:04,2016-06-21,3,0,2
377,"式","style",2016-06-16 12:25:38,2016-06-25,3,1,3
378,"試","test",2016-06-18 14:47:46,2016-06-21,2,2,3
379,"弐","II (two)",2016-06-18 07:02:39,2016-07-05,4,0,3
380,"域","range",2016-06-13 09:52:34,2016-06-21,3,0,2
381,"賊","burglar",2016-06-17 11:24:34,2016-07-02,4,0,3
382,"栽","plantation",2016-06-20 11:34:46,2016-07-01,4,0,3
383,"載","load",2016-06-20 11:58:12,2016-07-02,4,0,3
384,"茂","overgrown",2016-06-13 09:55:15,2016-06-21,3,0,2
385,"戚","relatives",2016-06-13 09:48:47,2016-06-22,3,0,2
386,"成","turn into",2016-06-17 11:36:36,2016-06-29,4,0,3
387,"城","castle",2016-06-16 12:03:42,2016-07-02,4,0,3
388,"誠","sincerity",2016-06-14 09:48:35,2016-06-23,3,1,2
389,"威","intimidate",2016-06-15 10:14:28,2016-06-21,3,2,3
390,"滅","destroy",2016-06-20 11:58:12,2016-07-06,4,1,4
391,"減","dwindle",2016-06-13 09:55:15,2016-06-22,3,0,2
392,"蔑","revile",2016-06-14 09:37:09,2016-06-23,3,1,2
393,"桟","scaffold",2016-06-12 09:56:04,2016-06-21,3,2,2
