政	まつりごと, まん, セイ, ショウ	politics, government
険	けわ.しい, ケン	precipitous, inaccessible place, impregnable position, steep place, sharp eyes
頼	たの.む, たの.もしい, たよ.る, ライ	trust, request
覚	おぼ.える, さ.ます, さ.める, さと.る, カク	memorize, learn, remember, awake, sober up
船	ふね, ふな-, セン	ship, boat
倍	バイ	double, twice, times, fold
均	なら.す, キン	level, average
億	オク	hundred million, 10**8
途	みち, ト	route, way, road
圧	お.す, へ.す, おさ.える, お.さえる, アツ, エン, オウ	pressure, push, overwhelm, oppress, dominate
芸	う.える, のり, わざ, ゲイ, ウン	technique, art, craft, performance, acting, trick, stunt
許	ゆる.す, もと, キョ	permit, approve
署	ショ	signature, govt office, police station
抜	ぬ.く, -ぬ.く, ぬ.き, ぬ.ける, ぬ.かす, ぬ.かる, バツ, ハツ, ハイ	slip out, extract, pull out, pilfer, quote, remove, omit
伸	の.びる, の.ばす, の.べる, の.す, シン	expand, stretch, extend, lengthen, increase
留	と.める, と.まる, とど.める, とど.まる, るうぶる, リュウ, ル	detain, fasten, halt, stop
罪	つみ, ザイ	guilt, sin, crime, fault, blame, offense
停	と.める, と.まる, テイ	halt, stopping
爆	は.ぜる, バク	bomb, burst open, pop, split
陸	おか, リク, ロク	land, six
